GVP;GEOROC
Rungwe;RUNGWE PROVINCE,RUNGWE,RUNGWE PUMICE
San Cristobal-Nicaragua;SAN CRISTOBAL
San Jorge;SAO JORGE,SAN JORGE
San Pedro-Pellado;SAN PEDRO-PELLADO
Sangay;SANGAY
Santa Isabel;BIOKO,SANTA ISABEL,FERNANDO POO
Santa Maria;SANTA MARIA
Santiago;SANTIAGO (JAMES, SAN SALVADOR)
Santorini;SANTORINI
Sarigan;SARIGAN
Savai'i;SAVAI^I
Seguam;SEGUAM
Sete Cidades;SETE CIDADES
Shasta;MOUNT SHASTA
Sheveluch;SHIVELUCH (SHEVELUCH)
Shishaldin;SHISHALDIN
Silali;SILALI 
Simbo;NEW GEORGIA ISLANDS - SIMBO
Siple;MOUNT SIPLE
Snaefell;SNAEFELL
Snaefell;SNAEFELLSJÖKULL
Socorro;SOCORRO
Sodore;DERA-SODORE UNIT
Soputan;SOPUTAN
Soufriere Hills;SOUFRIERE HILLS
South Island;SOUTH ISLAND - LAKE TURKANA
Southern Thule;THULE,COOK
St. Andrew Strait;ST ANDREW STRAIT ISLANDS
St. Helens;MOUNT ST. HELENS
St. Paul;ST. PAUL ISLAND
Stromboli;STROMBOLI
Sturge Island;STURGE
Suswa;MOUNT SUSWA
Ta'u;TAU ISLAND
Tafahi;TAFAHI
Tahalra Volcanic Field;TAHALGHA (TAHALRA) VOLCANIC FIELD
Tambora;TAMBORA
Tangaroa;TANGAROA
Taranaki;EGMONT (MOUNT TARANAKI)
Tat Ali;TAT ALI,TAT^ALI
Taupo;TAUPO VOLCANIC CENTER,TAUPO VOLCANIC CENTER - RANGATIRA POINT IGNIMBRITE,TAUPO VOLCANIC CENTER - ORUANUI ERUPTION,TAUPO VOLCANIC CENTER - TAUPO IGNIMBRITE,TAUPO VOLCANIC CENTER - POST-ORUANUI ERUPTION
Taveuni;TAVEUNI
Teahitia;TEAHITIA
Telica;TELICA
Tenerife;TENERIFE
Tengchong;TENGCHONG VOLCANIC FIELD - QINGLIANGSHAN,TENGCHONG VOLCANIC FIELD - DAYINGSHAN,TENGCHONG VOLCANIC FIELD - HEIKONGSHAN
Tepi;TEPI
Terceira;TERCEIRA
Theistareykir;THEISTAREYKIR VOLCANIC FIELD
Thordarhyrna;THORDARHÖFDI
Three Sisters;THREE SISTERS
Tinakula;SANTA CRUZ ARCHIPELAGO - TINAKULA
Tindfjallajokull;TINDFJALLAÖKULL
Tinguiririca;TINGUIRIRICA
Toba;TOBA
Tofua;TOFUA
Tolbachik;TOLBACHIK
Toliman;TOLIMAN
Tombel Graben;TOMBEL VOLCANIC FIELD
